"ACCOUNTNUMBER","CUSTOMERID","LOCATIONID","ACTIVECODE","STATUSCODE","ADDRESSSEQ","PENALTYCODE","TAXCODE","TAXTYPE","ARCODE","BANKCODE","OPENDATE","TERMINATEDDATE","DWELLINGUNITS","STOPSHUTOFF","STOPPENALTY","DUEDATE","SICCODE","BUNCHCODE","SHUTOFFDATE","PIN","DEFERREDDUEDATE","LASTNOTICECODE","LASTNOTICEDATE","CASHONLY","NEMLASTTRUEUPDATE","NEMNEXTTRUEUPDATE","ENGINEERNUM","SERVICEADDRESS3","UPDATEDATE"
"210812351","189190.0","7000063346",0,0,1,55,0,1,8,8,"2015-09-05","",1,0,0,"2025-03-07","","","","","",0,"","","","","","","2025-05-09"
"210843893","189192","5000100115",2,0,1,53,0,0,8,8,"2015-09-12","2023-09-01",1,0,0,"2023-10-02","","","","","",0,"","","","","","","2025-05-09"
"210791959","189193.0","7000067102",0,0,1,53,0,0,8,8,"2015-09-17","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210809522","189194.0","7000062328",0,0,1,55,0,1,8,8,"2015-09-22","",1,0,0,"2025-02-18","","","","","",0,"","","","","","","2025-05-09"
"210827441","189196.0","7000063854",2,0,1,55,0,1,8,8,"2015-09-09","2016-05-31",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210832010","189197","5000097985",2,0,1,53,0,0,8,8,"2015-09-23","2021-11-19",1,0,0,"2021-12-17","","","","","",0,"","","","","","","2025-05-09"
"210812426","189198.0","7000063352",0,0,1,53,0,0,8,8,"2015-09-11","",1,0,0,"2025-03-10","","","","","",0,"","","","","","","2025-05-09"
"210841962","189199.0","7000065103",0,0,1,53,0,0,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210844015","189200.0","7000065842",0,0,1,53,0,0,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210792032","189203.0","7000067108",0,0,1,53,0,0,8,8,"2015-09-17","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210802336","189204.0","7000067467",0,0,1,53,0,0,8,8,"2015-09-04","",1,0,0,"2025-03-03","","","","","",0,"","","","","","","2025-05-09"
"210809598","189205","5000093078",2,0,1,55,0,1,8,8,"2015-09-22","2022-09-19",1,0,0,"2022-10-17","","","","","",0,"","","","","","","2025-05-09"
"210832135","189206.0","7000064714",2,0,1,55,0,1,8,8,"2015-09-01","2016-12-31",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210844073","189209.0","7000065848",0,0,1,53,0,0,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210812848","189210.0","7000063388",0,0,1,55,0,1,8,8,"2015-09-18","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210842027","189211.0","7000065109",0,0,1,53,0,0,8,8,"2015-09-18","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210809663","189214.0","7000062342",0,0,1,55,0,1,8,8,"2015-09-22","",1,0,0,"2025-02-18","","","","","",0,"","","","","","","2025-05-09"
"210827582","189215.0","7000063866",0,0,1,55,0,1,8,8,"2015-09-01","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210832193","189216.0","7000064720",0,0,1,53,0,0,8,8,"2015-09-03","",1,0,0,"2025-03-03","","","","","",0,"","","","","","","2025-05-09"
"210802477","189217.0","7000067479",0,0,1,53,0,0,8,8,"2015-09-05","",1,0,0,"2025-03-04","","","","","",0,"","","","","","","2025-05-09"
"210844130","189219.0","7000065854",0,0,1,53,0,0,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210853652","189221","5000100784",2,0,1,53,0,0,8,8,"2015-09-11","2022-02-18",1,0,0,"2022-03-18","","","","","",0,"","","","","","","2025-05-09"
"210792173","189222.0","7000067120",0,0,1,53,0,0,8,8,"2015-09-03","",1,0,0,"2025-03-03","","","","","",0,"","","","","","","2025-05-09"
"210827657","189224.0","7000063872",0,0,1,55,0,1,8,8,"2015-09-09","",1,0,0,"2025-03-10","","","","","",0,"","","","","","","2025-05-09"
"210812913","189225.0","7000063394",0,0,1,55,0,1,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210792248","189226.0","7000067126",0,0,1,53,0,0,8,8,"2015-09-03","",1,0,0,"2025-03-03","","","","","",0,"","","","","","","2025-05-09"
"210802542","189229","5000103256",2,0,1,53,0,0,8,8,"2015-09-04","2021-04-15",1,0,0,"2021-05-11","","","","","",0,"","","","","","","2025-05-09"
"210853709","189230.0","7000066255",0,0,1,55,0,1,8,8,"2015-09-05","",1,0,0,"2025-03-04","","","","","",0,"","","","","","","2025-05-09"
"210844198","189232.0","7000065860",0,0,1,53,0,0,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
