CUSTOMERID,LOCATIONID,APPLICATION,DEPOSITSTATUS,DEPOSITKIND,DEPOSITDATE,DEPOSITAMOUNT,DEPOSITBILLEDFLAG,DEPOSITACCRUEDINTEREST,DEPOSITINTERESTCALCDATE,DEPOSITREFUNDMONTHS,UPDATEDATE
"189375","7000063544",5,0,1,"2011-01-10",150.46,"N",,,24,
"189375","7000063544",5,0,1,"2011-02-24",200.0,"N",,,24,
"189375","7000063544",5,0,1,"2011-03-31",149.54,"N",,,24,
"189773","7000062149",5,0,1,"2010-11-04",287.0,"N",,,24,
"190925","7000063616",5,0,1,"2014-11-24",1281.75,"N",,,24,
"191268","7000066536",5,0,1,"2014-10-31",400.0,"N",,,24,
"191585","7000063303",5,0,1,"2011-12-19",523.0,"N",,,24,
"192288","7000065984",5,0,1,"2014-10-31",600.0,"N",,,24,
"192386","7000064745",5,0,1,"2015-09-30",141.71,"N",,,24,
"192661","7000062046",5,0,1,"2011-08-18",5826.0,"N",,,24,
"193319","7000063035",5,0,1,"2014-04-30",1400.0,"N",,,24,
"195346","7000063500",5,0,1,"2019-11-06",408.32,"N",,,24,
"1002569","7000063007",5,0,1,"2022-10-14",122.0,"N",,,24,
"1002569","7000063007",5,0,1,"2022-11-08",122.0,"N",,,24,
"1002569","7000063007",5,0,1,"2022-12-02",122.0,"N",,,24,
"1016783","7000065816",5,0,1,"2019-10-03",800.0,"N",,,24,
"1016783","7000065816",5,0,1,"2019-10-31",800.0,"N",,,24,
"1016783","7000065816",5,0,1,"2019-11-12",800.0,"N",,,24,
"1021001","7000064084",5,0,1,"2020-04-30",121.14,"N",,,24,
"1021001","7000064084",5,0,1,"2020-04-30",121.14,"N",,,24,
"1021001","7000064084",5,0,1,"2020-04-30",121.14,"N",,,24,
"1036288","7000065441",5,0,1,"2022-11-08",387.0,"N",,,24,
"1036288","7000065441",5,0,1,"2022-12-21",387.0,"N",,,24,
"1036288","7000065441",5,0,1,"2023-01-30",387.0,"N",,,24,
"1036288","7000065441",5,0,1,"2023-02-14",233.96,"N",,,24,
"1045077","7000062350",5,0,1,"2021-12-14",77.49,"N",,,24,
"1058198","7000076259",5,0,1,"2023-10-04",18.08,"N",,,24,
"1058198","7000076259",5,0,1,"2024-05-13",230.0,"N",,,24,
"1058198","7000076259",5,0,1,"2024-06-13",230.0,"N",,,24,
"1058198","7000076259",5,0,1,"2023-12-15",230.0,"N",,,24,
"1061074","7000077510",5,0,1,"2022-10-14",53690.87,"N",,,24,
TRAILER,,,,,,,,,,,
